Yr/Seas,Host,Nationalities,Leader (s),Route(s),Result,Smtrs,Dead,Exped ID,Year,expedition_code,member_count,total_members,death_mbrs,hired_deaths,hired_count,hired_DR,mbr_DR
2001 Spr,China,"France, Switzerland",Bertrand Roche,N Col-NE Ridge,Success,4,,EVER-011-23,2001,EVER011232001,8,7,0,0,1,0,0
2001 Spr,China,"USA, UK",Walter Keller,N Col-NE Ridge,Other,,,EVER-011-24,2001,EVER011242001,4,4,0,0,0,#DIV/0!,0
2001 Spr,China,USA,Craig John,N Col,Did not Climb,,,EVER-011-25,2001,EVER011252001,12,12,0,0,0,#DIV/0!,0
2001 Spr,China,Australia,Duncan Chessell,N Col-NE Ridge,Success,2,1,EVER-011-26,2001,EVER011262001,3,2,1,0,1,0,0.5
2001 Spr,China,"USA, Australia, Canada, Mexico",Fabrizio Zangrilli,N Col-NE Ridge,Lack of Supplies,,,EVER-011-27,2001,EVER011272001,5,5,0,0,0,#DIV/0!,0
2001 Spr,China,"USA, Germany",Eric Simonson,N Col-NE Ridge,Lack of Supplies,,,EVER-011-28,2001,EVER011282001,15,11,0,0,4,0,0
2001 Spr,China,USA,Terrence Lafrance,N Col-NE Ridge,Success,6,,EVER-011-29,2001,EVER011292001,6,2,0,0,4,0,0
2001 Spr,China,"Australia, New Zealand",Zac Zaharias,N Col-NE Ridge,Success,3,,EVER-011-30,2001,EVER011302001,16,14,0,0,2,0,0
2001 Spr,China,"New Zealand, Australia, Canada, Denmark, France, Guatemala, Italy, Japan, Switzerland, UK, USA",Russell Brice,N Col-NE Ridge,Success,15,,EVER-011-31,2001,EVER011312001,30,25,0,0,5,0,0
2001 Spr,China,Austria,Wilfried Studer,N Col-NE Ridge,"Illness, AMS",,,EVER-011-32,2001,EVER011322001,2,2,0,0,0,#DIV/0!,0
2001 Spr,China,Spain,Sergei Mingote Moreno (on David Rosa's permit),N Col-NE Ridge,Success,2,,EVER-011-33,2001,EVER011332001,2,1,0,0,1,0,0
2001 Spr,China,UK,Ted Atkins,N Col-NE Ridge,Success,2,,EVER-011-34,2001,EVER011342001,13,13,0,0,0,#DIV/0!,0
2001 Spr,China,"France, Kuwait",Bernard Muller,N Col-NE Ridge,Success,12,,EVER-011-35,2001,EVER011352001,18,11,0,0,7,0,0
2001 Spr,China,Spain,Juanito Oiarzabal,N Col-NE Ridge,Success,3,,EVER-011-36,2001,EVER011362001,16,15,0,0,1,0,0
2001 Spr,China,Spain,David Rosa,N Col-NE Ridge,Success,2,,EVER-011-37,2001,EVER011372001,4,3,0,0,1,0,0
2001 Spr,China,UK,Ian Roberts,N Col-NE Ridge,Bad Weather,,,EVER-011-38,2001,EVER011382001,6,5,0,0,1,0,0
2001 Spr,China,Brazil,Paulo Coelho,N Col-NE Ridge,Bad Weather,,,EVER-011-39,2001,EVER011392001,2,2,0,0,0,#DIV/0!,0
2001 Spr,China,Japan,Itsuo Ota,N Col-NE Ridge,Bad Conditions,,,EVER-011-40,2001,EVER011402001,4,2,0,0,2,0,0
2001 Spr,China,Nepal,Temba Tsheri Sherpa,N Col-NE Ridge,Success,1,,EVER-011-41,2001,EVER011412001,3,3,0,0,0,#DIV/0!,0
2001 Spr,China,Georgia,Gia Tortladze,N Col-NE Ridge,Success,2,,EVER-011-42,2001,EVER011422001,3,2,0,0,1,0,0
2001 Spr,China,"USA, Nepal","Gheorghe Dijmarescu, Lakpa Sherpa",N Col-NE Ridge,Success,2,,EVER-011-43,2001,EVER011432001,2,2,0,0,0,#DIV/0!,0
2001 Spr,China,"Singapore, Brazil",David Lim,N Col-NE Ridge,"Illness, AMS",,,EVER-011-44,2001,EVER011442001,5,5,0,0,0,#DIV/0!,0
2001 Spr,China,Venezuela,Jose Delgado,N Col-NE Ridge,Success,4,,EVER-011-45,2001,EVER011452001,8,6,0,0,2,0,0
2001 Spr,China,"Japan, S Korea",Ken Noguchi,N Col-NE Ridge,Bad Weather,,,EVER-011-46,2001,EVER011462001,9,5,0,0,4,0,0
2001 Spr,China,Colombia,Juan Pablo Ruiz,N Col-NE Ridge,Success,4,,EVER-011-47,2001,EVER011472001,10,10,0,0,0,#DIV/0!,0
2001 Spr,China,Russia,Dmitri Bochkov,N Col-NE Ridge,Success,8,1,EVER-011-48,2001,EVER011482001,13,13,1,0,0,#DIV/0!,0.076923077
2001 Spr,China,"India, Nepal",Santosh Yadav,E Ridge (to 6800m) / E Ridge (to 6900m),Bad Weather,,,EVER-011-49,2001,EVER011492001,12,12,0,0,0,#DIV/0!,0
2001 Spr,China,"Austria, Germany, Luxembourg, USA",Stefan Gatt,N Col-NE Ridge,Success,7,,EVER-011-50,2001,EVER011502001,15,14,0,0,1,0,0
2001 Spr,China,Australia,Theodore Kossart,N Col-NE Ridge,"Illness, AMS",,,EVER-011-51,2001,EVER011512001,4,4,0,0,0,#DIV/0!,0
2001 Aut,China,"USA, Canada","Jim Wickwire, Ed Hommer",N Col-NE Ridge,Bad Weather,,,EVER-013-01,2001,EVER013012001,8,7,0,0,1,0,0
2001 Aut,China,Hungary,David Klein,E Face,Bad Conditions,,,EVER-013-02,2001,EVER013022001,8,8,0,0,0,#DIV/0!,0
2001 Aut,China,Hungary,Laszlo Mecs,N Col-NE Ridge,Accident,,1,EVER-013-03,2001,EVER013032001,13,13,1,0,0,#DIV/0!,0.076923077
2002 Spr,China,Japan,Tomiyasu Ishikawa,N Col-NE Ridge,Success,3,,EVER-021-01,2002,EVER021012002,3,1,0,0,2,0,0
2002 Spr,China,Japan,Sohei Higuchi,N Col-NE Ridge,Success,2,,EVER-021-02,2002,EVER021022002,13,10,0,0,3,0,0
2002 Spr,China,"Russia, Bulgaria, Germany, Mexico, USA, Yugoslavia","Viachoslav Skripko, Borislav Dimitrov",N Col-NE Ridge,Route Difficulty,,1,EVER-021-03,2002,EVER021032002,7,7,1,0,0,#DIV/0!,0.142857143
2002 Spr,China,Japan,Shinji Sato,N Col-NE Ridge,Success,7,,EVER-021-04,2002,EVER021042002,14,10,0,0,4,0,0
2002 Spr,China,Brazil,Paulo Coelho,N Col-NE Ridge,Bad Weather,,,EVER-021-05,2002,EVER021052002,2,2,0,0,0,#DIV/0!,0
2002 Spr,China,Czech Republic,Miroslav Caban,N Col-NE Ridge,Success,1,,EVER-021-06,2002,EVER021062002,2,2,0,0,0,#DIV/0!,0
2002 Spr,China,Russia,Gennady Kirievsky,N Col-NE Ridge,Success,6,,EVER-021-07,2002,EVER021072002,6,6,0,0,0,#DIV/0!,0
2002 Spr,China,S Korea,Kim Bo-Youl,N Col-NE Ridge,Success,4,,EVER-021-08,2002,EVER021082002,9,7,0,0,2,0,0
2002 Spr,China,USA,Tim Gregg,N Col-NE Ridge,Bad Conditions,,,EVER-021-09,2002,EVER021092002,2,2,0,0,0,#DIV/0!,0
2002 Spr,China,Italy,Simone Moro,N Col-NE Ridge,Success,3,,EVER-021-10,2002,EVER021102002,3,2,0,0,1,0,0
2002 Spr,China,Netherlands,Hans Van der Meulen,N Col-NE Ridge,Success,1,,EVER-021-11,2002,EVER021112002,2,2,0,0,0,#DIV/0!,0
2002 Spr,China,France,Robert Larrandaburu,N Col-NE Ridge,Success,3,,EVER-021-12,2002,EVER021122002,6,5,0,0,1,0,0
2002 Spr,China,Spain,Jorge Egocheaga,N Col-NE Ridge,Success,2,,EVER-021-13,2002,EVER021132002,2,1,0,0,1,0,0
2002 Spr,China,Germany,Hartmut Bielefeldt,N Col-NE Ridge,Success,2,,EVER-021-14,2002,EVER021142002,2,2,0,0,0,#DIV/0!,0
2002 Spr,China,"New Zealand, Canada, China, France, Japan, Spain",Russell Brice,N Col-NE Ridge,Success,3,,EVER-021-15,2002,EVER021152002,8,7,0,0,1,0,0
2002 Spr,China,"Switzerland, France, Italy",Karl Kobler,N Col-NE Ridge,Success,11,,EVER-021-16,2002,EVER021162002,21,16,0,0,5,0,0
2002 Spr,China,Switzerland,Daniel Perler,N Col-NE Ridge,Success,2,,EVER-021-17,2002,EVER021172002,2,1,0,0,1,0,0
2002 Spr,China,Italy,Marco Chiantore,N Col-NE Ridge,"Illness, AMS",,,EVER-021-18,2002,EVER021182002,1,1,0,0,0,#DIV/0!,0
2002 Spr,China,"UK, Ireland",David Pritt,N Col-NE Ridge,Success,3,,EVER-021-19,2002,EVER021192002,11,11,0,0,0,#DIV/0!,0
2002 Spr,China,Austria,Wilfried Studer,N Col-NE Ridge,Bad Weather,,,EVER-021-20,2002,EVER021202002,2,2,0,0,0,#DIV/0!,0
2002 Spr,China,"Switzerland, Germany",Michael Borrmann,N Col-NE Ridge,Bad Weather,,,EVER-021-21,2002,EVER021212002,6,6,0,0,0,#DIV/0!,0
2002 Spr,China,"UK, Ireland",Gavin Bate,N Col-NE Ridge,"Illness, AMS",,,EVER-021-22,2002,EVER021222002,2,2,0,0,0,#DIV/0!,0
2002 Spr,China,Switzerland,Mathias Baumann,N Col-NE Ridge,Route Difficulty,,,EVER-021-23,2002,EVER021232002,3,1,0,0,2,0,0
2002 Spr,China,Mexico,Alejandro Villarreal,N Col-NE Ridge,Success,2,,EVER-021-24,2002,EVER021242002,2,1,0,0,1,0,0
2002 Spr,China,Mexico,Jorge Hermosillo,N Col-NE Ridge,Success,4,,EVER-021-25,2002,EVER021252002,7,7,0,0,0,#DIV/0!,0
2002 Spr,China,Mexico,Mauricio Lopez,N Col-NE Ridge,Success,2,,EVER-021-26,2002,EVER021262002,3,2,0,0,1,0,0
2002 Spr,China,USA,Adrian Nature,N Col-NE Ridge,Route Difficulty,,,EVER-021-27,2002,EVER021272002,3,3,0,0,0,#DIV/0!,0
2002 Spr,China,USA,Gheorghe Dijmarescu,N Col-NE Ridge,Success,1,,EVER-021-28,2002,EVER021282002,1,1,0,0,0,#DIV/0!,0
2002 Spr,Nepal,USA,Eric Simonson,S Col-SE Ridge,Success,8,,EVER-021-29,2002,EVER021292002,13,8,0,0,5,0,0
2002 Spr,Nepal,"USA, Australia, Iceland, New Zealand",Bill Crouse,S Col-SE Ridge,Success,7,,EVER-021-30,2002,EVER021302002,13,9,0,0,4,0,0
2002 Spr,Nepal,France,Martine Larroque,S Col-SE Ridge,"Illness, AMS",,,EVER-021-31,2002,EVER021312002,2,1,0,0,1,0,0
2002 Spr,Nepal,Armenia,Igor Khalatian,S Col-SE Ridge,Success,3,,EVER-021-32,2002,EVER021322002,3,1,0,0,2,0,0
2002 Spr,Nepal,Italy,Alberto Magliano,S Col-SE Ridge,Success,2,,EVER-021-33,2002,EVER021332002,3,2,0,0,1,0,0
2002 Spr,Nepal,Japan,Noriyuki Muraguchi,S Col-SE Ridge,Success,5,,EVER-021-34,2002,EVER021342002,5,2,0,0,3,0,0
2002 Spr,Nepal,Nepal,Pemba Doma Thaktopa Sherpa,S Col-SE Ridge,Success,2,,EVER-021-35,2002,EVER021352002,2,1,0,0,1,0,0
2002 Spr,Nepal,"USA, Mexico, UK","Charlie Fowler, Hector Ponce de Leon",S Col-SE Ridge,Success,5,,EVER-021-36,2002,EVER021362002,12,10,0,0,2,0,0
2002 Spr,Nepal,S Korea,Um Hong-Gil,S Col-SE Ridge,Success,4,,EVER-021-37,2002,EVER021372002,9,9,0,0,0,#DIV/0!,0
2002 Spr,Nepal,"Switzerland, Australia, France",Stephane Schaffter,S Col-SE Ridge,Success,8,,EVER-021-38,2002,EVER021382002,9,6,0,0,3,0,0
2002 Spr,Nepal,"UK, Hungary, USA",Henry Todd,S Col-SE Ridge,Success,8,1,EVER-021-39,2002,EVER021392002,14,10,1,0,4,0,0.1
2002 Spr,Nepal,"USA, Canada, Ecuador, New Zealand, Switzerland",William Prittie,S Col-SE Ridge,Success,17,,EVER-021-40,2002,EVER021402002,21,13,0,0,8,0,0
2002 Spr,Nepal,"USA, New Zealand",Peter Athans,S Col-SE Ridge / W Ridge (to 7930m),Success,8,,EVER-021-41,2002,EVER021412002,12,7,0,0,5,0,0
2002 Spr,Nepal,USA,David Hahn,S Col-SE Ridge,Success,2,,EVER-021-42,2002,EVER021422002,15,11,0,0,4,0,0
2002 Spr,Nepal,USA,Sean Swarner,S Col-SE Ridge,Success,3,,EVER-021-43,2002,EVER021432002,3,1,0,0,2,0,0
2002 Spr,Nepal,"USA, Australia, Canada, Netherlands",Willie Benegas,S Col-SE Ridge,Success,9,,EVER-021-44,2002,EVER021442002,13,8,0,0,5,0,0
2002 Spr,China,China,Wang Tian-Han,N Col-NE Ridge,Success,1,,EVER-021-45,2002,EVER021452002,2,1,0,0,1,0,0
2002 Aut,China,France,Marco Siffredi,"N Col-NE Ridge (up), N Face (Hornbein) (down)",Success,4,1,EVER-023-01,2002,EVER023012002,5,2,1,0,3,0,0.5
2002 Aut,Nepal,Brazil,Waldemar Niclevicz,S Col-SE Ridge,Bad Weather,,,EVER-023-02,2002,EVER023022002,5,5,0,0,0,#DIV/0!,0
2002 Aut,China,Canada,Owen Davies,N Col-NE Ridge,Bad Conditions,,,EVER-023-03,2002,EVER023032002,1,1,0,0,0,#DIV/0!,0
2002 Aut,Nepal,Japan,Eiichi Usami,S Col-SE Ridge,Bad Conditions,,,EVER-023-04,2002,EVER023042002,6,3,0,0,3,0,0
2002 Aut,Nepal,S Korea,Lee Se-Jung,S Col-SE Ridge,Bad Conditions,,,EVER-023-05,2002,EVER023052002,7,6,0,0,1,0,0
2003 Spr,Nepal,Japan,Yuichiro Miura,S Col-SE Ridge,Success,9,,EVER-031-01,2003,EVER031012003,11,5,0,0,6,0,0
2003 Spr,China,Japan,Tateo Yamashita,N Col-NE Ridge,Bad Weather,,,EVER-031-02,2003,EVER031022003,6,4,0,0,2,0,0
2003 Spr,Nepal,Nepal,Ang Chhiring Sherpa,S Col-SE Ridge,Success,1,,EVER-031-03,2003,EVER031032003,1,1,0,0,0,#DIV/0!,0
2003 Spr,Nepal,"India, Nepal",Ashok Abbey (Indian team),S Col-SE Ridge,Success,16,,EVER-031-04,2003,EVER031042003,30,23,0,0,7,0,0
2003 Spr,Nepal,Nepal,Surya Sen Thakuri (Nepalese team),S Col-SE Ridge,Success,15,1,EVER-031-05,2003,EVER031052003,24,19,1,0,5,0,0.052631579
2003 Spr,Nepal,Japan,Kiyoshi Ishii,W Ridge,Bad Weather,,,EVER-031-06,2003,EVER031062003,5,5,0,0,0,#DIV/0!,0
2003 Spr,Nepal,USA,Robert Hoffman,S Col-SE Ridge,Success,11,,EVER-031-07,2003,EVER031072003,16,9,0,0,7,0,0
2003 Spr,Nepal,"USA, UK",David Hahn,S Col-SE Ridge,Success,8,,EVER-031-08,2003,EVER031082003,11,7,0,0,4,0,0
2003 Spr,China,USA,Steven Marolt,N Col-NE Ridge,Success,1,,EVER-031-09,2003,EVER031092003,9,9,0,0,0,#DIV/0!,0
2003 Spr,Nepal,USA,Choongok Sunwoo,S Col-SE Ridge,Bad Weather,,,EVER-031-10,2003,EVER031102003,3,1,0,0,2,0,0
2003 Spr,Nepal,"USA, Australia",Bill Crouse,S Col-SE Ridge,Success,3,,EVER-031-11,2003,EVER031112003,8,4,0,0,4,0,0
2003 Spr,Nepal,USA,Charles Wittmack,S Col-SE Ridge,Success,2,,EVER-031-12,2003,EVER031122003,2,1,0,0,1,0,0
2003 Spr,Nepal,"USA, Canada, UK","Willi Prittie, Vernon Tejas",S Col-SE Ridge,Success,14,,EVER-031-13,2003,EVER031132003,19,12,0,0,7,0,0
2003 Spr,Nepal,"France, Italy",Jean-Michel Asselin,S Col-SE Ridge,Success,7,1,EVER-031-14,2003,EVER031142003,27,23,1,0,4,0,0.043478261
2003 Spr,Nepal,Belgium,Robert Huygh,S Col-SE Ridge,Success,4,,EVER-031-15,2003,EVER031152003,6,2,0,0,4,0,0
2003 Spr,Nepal,Spain,Rosa Maria Fernandez,S Col-SE Ridge,Bad Weather,,,EVER-031-16,2003,EVER031162003,2,1,0,0,1,0,0
2003 Spr,China,Italy,Tarcisio Bello,N Col-NE Ridge,Success,1,,EVER-031-17,2003,EVER031172003,7,7,0,0,0,#DIV/0!,0
2003 Spr,Nepal,Spain,Jesus Elena Vera,S Col-SE Ridge,Success,3,,EVER-031-18,2003,EVER031182003,12,9,0,0,3,0,0
2003 Spr,Nepal,Germany,Peter Guggemos,S Col-SE Ridge,Bad Weather,,,EVER-031-19,2003,EVER031192003,1,1,0,0,0,#DIV/0!,0
2003 Spr,Nepal,Italy,Renzo Benedetti,S Col-SE Ridge,Bad Weather,,,EVER-031-20,2003,EVER031202003,2,2,0,0,0,#DIV/0!,0
2003 Spr,Nepal,"Germany, Switzerland",Eckhard Schmitt,S Col-SE Ridge,Success,4,,EVER-031-21,2003,EVER031212003,10,8,0,0,2,0,0
2003 Spr,Nepal,"Italy, USA",Manuel Lugli,S Col-SE Ridge,Success,2,,EVER-031-22,2003,EVER031222003,9,8,0,0,1,0,0
2003 Spr,China,"India, Bhutan, Nepal",Vijay Singh Thakur,N Col-NE Ridge,Success,2,,EVER-031-23,2003,EVER031232003,16,16,0,0,0,#DIV/0!,0
2003 Spr,Nepal,"USA, Australia, Canada",Gary Guller,S Col-SE Ridge,Success,5,1,EVER-031-24,2003,EVER031242003,9,4,0,1,5,0.2,0
2003 Spr,Nepal,USA,Paul Giorgio,S Col-SE Ridge,Success,5,,EVER-031-25,2003,EVER031252003,7,3,0,0,4,0,0
2003 Spr,Nepal,"Belgium, France, Switzerland",Bernard De Launoit,S Col-SE Ridge,Success,7,,EVER-031-26,2003,EVER031262003,17,13,0,0,4,0,0
2003 Spr,Nepal,Canada,Christopher Allen,S Col-SE Ridge,"Illness, AMS",,,EVER-031-27,2003,EVER031272003,1,1,0,0,0,#DIV/0!,0
2003 Spr,Nepal,S Africa,Alex Harris,S Col-SE Ridge,Success,1,,EVER-031-28,2003,EVER031282003,10,10,0,0,0,#DIV/0!,0
2003 Spr,Nepal,USA,Sean Burch,S Col-SE Ridge,Success,2,,EVER-031-29,2003,EVER031292003,2,1,0,0,1,0,0
2003 Spr,Nepal,UK,John Baker,S Col-SE Ridge,Success,4,,EVER-031-30,2003,EVER031302003,4,1,0,0,3,0,0
2003 Spr,Nepal,"UK, USA",Henry Todd,S Col-SE Ridge,Success,5,,EVER-031-31,2003,EVER031312003,11,5,0,0,6,0,0
2003 Spr,Nepal,Canada,Glenn Edwards,S Col-SE Ridge,"Illness, AMS",,,EVER-031-32,2003,EVER031322003,3,3,0,0,0,#DIV/0!,0
2003 Spr,Nepal,"Ireland, UK",Pat Falvey,S Col-SE Ridge,Success,4,,EVER-031-33,2003,EVER031332003,8,6,0,0,2,0,0
2003 Spr,Nepal,"USA, Canada, Mexico, Netherlands, Norway, S Africa, UK",Robert Anderson,S Col-SE Ridge,Success,10,,EVER-031-34,2003,EVER031342003,17,12,0,0,5,0,0
2003 Spr,China,USA,Benjamin Clark,N Col-NE Ridge,Success,3,,EVER-031-35,2003,EVER031352003,3,1,0,0,2,0,0
2003 Spr,China,USA,Adrian Nature,N Col-NE Ridge,Lack of Supplies,,,EVER-031-36,2003,EVER031362003,1,1,0,0,0,#DIV/0!,0
2003 Spr,China,UK,Nick Arding,N Col-NE Ridge,Success,2,,EVER-031-37,2003,EVER031372003,14,13,0,0,1,0,0
2003 Spr,China,"UK, Ireland, New Zealand",Richard Dougan,N Col-NE Ridge,Success,2,,EVER-031-38,2003,EVER031382003,6,6,0,0,0,#DIV/0!,0
2003 Spr,China,USA,Jim Wickwire,N Col-NE Ridge,Success,4,,EVER-031-39,2003,EVER031392003,6,4,0,0,2,0,0
2003 Spr,Nepal,Japan,Yasunari Yamashita,S Col-SE Ridge,Success,7,,EVER-031-40,2003,EVER031402003,11,9,0,0,2,0,0
2003 Spr,China,"New Zealand, Australia, China, Germany, Kuwait, UK, USA",Russell Brice,N Col-NE Ridge,Success,12,,EVER-031-41,2003,EVER031412003,13,9,0,0,4,0,0
2003 Spr,China,"USA, Australia, Canada, Spain",Craig John,N Col-NE Ridge,Success,3,,EVER-031-42,2003,EVER031422003,12,8,0,0,4,0,0
2003 Spr,China,"UK, Germany, S Africa",Terence Stubbs,N Col-NE Ridge,Lack of Supplies,,,EVER-031-43,2003,EVER031432003,9,7,0,0,2,0,0
2003 Spr,China,"USA, New Zealand",Russell Brice,N Col-NE Ridge,Success,12,,EVER-031-44,2003,EVER031442003,17,11,0,0,6,0,0
2003 Spr,China,"UK, S Africa",Ian Woodall,E Ridge,Route Difficulty,,,EVER-031-45,2003,EVER031452003,3,2,0,0,1,0,0
2003 Spr,China,Brazil,Paulo Coelho,N Col-NE Ridge,Bad Weather,,,EVER-031-46,2003,EVER031462003,2,2,0,0,0,#DIV/0!,0
2003 Spr,China,France,Denis Etienne,N Col-NE Ridge,Success,2,,EVER-031-47,2003,EVER031472003,6,5,0,0,1,0,0
2003 Spr,China,France,"Olivier Besson, Pierre Blanc",N Col-NE Ridge,Success,3,,EVER-031-48,2003,EVER031482003,3,2,0,0,1,0,0
2003 Spr,China,Spain,Alberto Rodriguez,NE Ridge,Success,2,,EVER-031-49,2003,EVER031492003,11,10,0,0,1,0,0
2003 Spr,China,France,"Bertrand Camus, Alain Paret",N Col-NE Ridge,Bad Weather,,,EVER-031-50,2003,EVER031502003,2,2,0,0,0,#DIV/0!,0
2003 Spr,China,Spain,Martin Ramos Garcia,N Col-NE Ridge,Bad Weather,,,EVER-031-51,2003,EVER031512003,1,1,0,0,0,#DIV/0!,0
2003 Spr,China,"Switzerland, Austria, France",Karl Kobler,N Col-NE Ridge,Bad Weather,,,EVER-031-52,2003,EVER031522003,21,16,0,0,5,0,0
2003 Spr,Nepal,Spain,Sergi Mingote Moreno,S Col-SE Ridge,Success,3,,EVER-031-53,2003,EVER031532003,3,1,0,0,2,0,0
2003 Spr,China,"Russia, Georgia",Alexander Abramov,N Col-NE Ridge,Success,3,,EVER-031-54,2003,EVER031542003,12,12,0,0,0,#DIV/0!,0
2003 Spr,China,Russia,Viatcheslav Skripko,N Col-NE Ridge,Lack of Supplies,,,EVER-031-55,2003,EVER031552003,2,2,0,0,0,#DIV/0!,0
2003 Spr,China,Belgium,Andre Menu,N Col-NE Ridge,Bad Weather,,,EVER-031-56,2003,EVER031562003,1,1,0,0,0,#DIV/0!,0
2003 Spr,Nepal,S Korea,Kim Jong-Gyu,S Col-SE Ridge,Bad Weather,,,EVER-031-57,2003,EVER031572003,8,6,0,0,2,0,0
2003 Spr,China,"Estonia, Lithuania",Toivo Sarmet,N Col-NE Ridge,Success,2,,EVER-031-58,2003,EVER031582003,8,8,0,0,0,#DIV/0!,0
2003 Spr,China,"Japan, France",Takashi Amemiya,N Col-NE Ridge,Success,11,,EVER-031-59,2003,EVER031592003,20,14,0,0,6,0,0
2003 Spr,China,Japan,Jun Yasamura,N Col-NE Ridge,Success,4,,EVER-031-60,2003,EVER031602003,6,4,0,0,2,0,0
2003 Spr,China,Poland,Krysztof Liszewski,N Col-NE Ridge,Accident,,1,EVER-031-61,2003,EVER031612003,1,1,1,0,0,#DIV/0!,1
2003 Spr,China,"Russia, Canada",Anatoli Moshnikov,N Col-NE Ridge,Success,1,,EVER-031-62,2003,EVER031622003,9,9,0,0,0,#DIV/0!,0
2003 Spr,China,Czech Republic,Petr Machold,N Col-NE Ridge,Bad Weather,,,EVER-031-63,2003,EVER031632003,2,2,0,0,0,#DIV/0!,0
2003 Spr,China,"Romania, Nepal, UK, USA",David Neacsu,N Col-NE Ridge,Success,11,,EVER-031-64,2003,EVER031642003,21,16,0,0,5,0,0
2003 Spr,China,China,Wang Yong-Feng,N Col-NE Ridge,Success,17,,EVER-031-65,2003,EVER031652003,35,18,0,0,17,0,0
2003 Spr,China,"S Korea, China",Kang Tae-Sun,N Col-NE Ridge,Success,10,,EVER-031-66,2003,EVER031662003,25,24,0,0,1,0,0
2003 Spr,Nepal,Spain,Josu Feijoo,S Col-SE Ridge,Bad Weather,,,EVER-031-67,2003,EVER031672003,2,1,0,0,1,0,0
2003 Spr,Nepal,"USA, Canada, UK",Scott Woolums,S Col-SE Ridge,Success,4,,EVER-031-68,2003,EVER031682003,6,4,0,0,2,0,0
2003 Spr,Nepal,Nepal,Ungdi Tshering Sherpa,S Col-SE Ridge,Bad Weather,,,EVER-031-69,2003,EVER031692003,4,1,0,0,3,0,0
2003 Spr,China,"UK, Australia, Ireland, USA",David Pritt,N Col-NE Ridge,Accident,,,EVER-031-70,2003,EVER031702003,6,6,0,0,0,#DIV/0!,0
2003 Spr,China,Austria,Wilfried Studer,N Col-NE Ridge,Bad Weather,,,EVER-031-71,2003,EVER031712003,2,2,0,0,0,#DIV/0!,0
2003 Sum,China,USA,Stephen Koch,N Face (Japanese & Hornbein Couloirs),Bad Conditions,,,EVER-032-01,2003,EVER032012003,5,3,0,0,2,0,0
2003 Sum,China,"Denmark, Sweden",Henning Bitsch,N Col,Bad Conditions,,,EVER-032-02,2003,EVER032022003,6,6,0,0,0,#DIV/0!,0
2003 Aut,Nepal,USA,Wally Berg,S Col-SE Ridge,Bad Weather,,,EVER-033-01,2003,EVER033012003,9,5,0,0,4,0,0
2004 Spr,Nepal,"Mexico, Canada","Andres Delgado, Alejandro Ochoa Reyes",S Col-SE Ridge,Success,5,,EVER-041-01,2004,EVER041012004,14,11,0,0,3,0,0
2004 Spr,Nepal,"USA, Malta",Jeffrey Justman,S Col-SE Ridge,Success,3,,EVER-041-02,2004,EVER041022004,6,4,0,0,2,0,0
2004 Spr,Nepal,"USA, Canada, Japan",Vernon Tejas,S Col-SE Ridge,Success,17,,EVER-041-03,2004,EVER041032004,20,12,0,0,8,0,0
2004 Spr,China,Netherlands,Wilco van Rooijen,N Col-NE Ridge,Success,2,,EVER-041-04,2004,EVER041042004,4,3,0,0,1,0,0
2004 Spr,China,"Greece, Cyprus, UK",Konstantinos Tsivelekas,N Col-NE Ridge,Success,7,,EVER-041-05,2004,EVER041052004,13,9,0,0,4,0,0
2004 Spr,China,France,Hugues d'Aubarede,N Col-NE Ridge,Success,2,,EVER-041-06,2004,EVER041062004,4,2,0,0,2,0,0
2004 Spr,China,Bulgaria,Metodi Savov,N Col-NE Ridge,Success,5,1,EVER-041-07,2004,EVER041072004,11,10,1,0,1,0,0.1
2004 Spr,China,Spain,Jose Sanz,N Col-NE Ridge,Bad Weather,,,EVER-041-08,2004,EVER041082004,1,1,0,0,0,#DIV/0!,0
2004 Spr,China,Bulgaria,Mariana Maslarova,N Col-NE Ridge,Accident,,1,EVER-041-09,2004,EVER041092004,1,1,1,0,0,#DIV/0!,1
2004 Spr,China,"Russia, Italy, USA, Uzbekistan",Alexander Abramov,N Col-NE Ridge,Success,5,,EVER-041-10,2004,EVER041102004,13,11,0,0,2,0,0
2004 Spr,China,Brazil,Paulo Coelho,N Col-NE Ridge,Bad Weather,,,EVER-041-11,2004,EVER041112004,2,2,0,0,0,#DIV/0!,0
2004 Spr,China,Austria,Josef Einwaller,N Col-NE Ridge,Bad Weather,,,EVER-041-12,2004,EVER041122004,1,1,0,0,0,#DIV/0!,0
2004 Spr,China,Austria,Wilfried Studer,N Col-NE Ridge,Bad Weather,,,EVER-041-13,2004,EVER041132004,2,2,0,0,0,#DIV/0!,0
2004 Spr,Nepal,"Switzerland, Austria",Kilian Volken,S Col-SE Ridge,Success,3,,EVER-041-14,2004,EVER041142004,3,2,0,0,1,0,0
2004 Spr,China,Italy,Giuseppe Pompili,N Col-NE Ridge,Success,4,,EVER-041-15,2004,EVER041152004,5,4,0,0,1,0,0
2004 Spr,China,"Austria, Germany",Paul Koller,N Col-NE Ridge,Success,1,,EVER-041-16,2004,EVER041162004,2,2,0,0,0,#DIV/0!,0
2004 Spr,China,Czech Republic,Miroslav Hrad,N Col-NE Ridge,"Illness, AMS",,,EVER-041-17,2004,EVER041172004,3,3,0,0,0,#DIV/0!,0
